vid,pid,dev_name,man_name
03eb,6124,"at91sam SAMBA bootloader","Atmel Corp."
03eb,6127,"AT91SAM HID Keyboard Demo Application","Atmel Corp."
03eb,6129,"AT91SAM Mass Storage Demo Application","Atmel Corp."
03eb,6200,"AT91SAM HID Mouse Demo Application","Atmel Corp."
03eb,7603,"D-Link DWL-120 802.11b Wireless Adapter [Atmel at76c503a]","Atmel Corp."
03eb,7604,"at76c503a 802.11b Adapter","Atmel Corp."
03eb,7605,"at76c503a 802.11b Adapter","Atmel Corp."
03eb,7606,"at76c505 802.11b Adapter","Atmel Corp."
03eb,7611,"at76c510 rfmd2948 802.11b Access Point","Atmel Corp."
03eb,7613,"WL-1130 USB","Atmel Corp."
03eb,7614,"AT76c505a Wireless Adapter","Atmel Corp."
03eb,7615,"AT76C505AMX Wireless Adapter","Atmel Corp."
03eb,7617,"AT76C505AS Wireless Adapter","Atmel Corp."
03eb,7800,"Mini Album","Atmel Corp."
03eb,800c,"Airspy HF+","Atmel Corp."
03eb,ff01,"WootingOne","Atmel Corp."
03eb,ff02,"WootingTwo","Atmel Corp."
03eb,ff07,"Tux Droid fish dongle","Atmel Corp."
03ee,0000,"CD-R/RW Drive","Mitsumi"
03ee,2501,"eHome Infrared Receiver","Mitsumi"
03ee,2502,"eHome Infrared Receiver","Mitsumi"
03ee,5609,"Japanese Keyboard","Mitsumi"
03ee,641f,"WIF-0402C Bluetooth Adapter","Mitsumi"
03ee,6438,"Bluetooth Device","Mitsumi"
03ee,6440,"WML-C52APR Bluetooth Adapter","Mitsumi"
03ee,6901,"SmartDisk FDD","Mitsumi"
03ee,6902,"Floppy Disk Drive","Mitsumi"
03ee,7500,"CD-R/RW","Mitsumi"
03ee,ffff,"Dongle with BlueCore in DFU mode","Mitsumi"
03f0,0004,"DeskJet 895c","HP, Inc"
03f0,0011,"OfficeJet G55","HP, Inc"
03f0,0012,"DeskJet 1125C Printer Port","HP, Inc"
03f0,0024,"KU-0316 Keyboard","HP, Inc"
03f0,002a,"LaserJet P1102","HP, Inc"
03f0,0053,"DeskJet 2620 All-in-One Printer","HP, Inc"
03f0,0101,"ScanJet 4100c","HP, Inc"
03f0,0102,"PhotoSmart S20","HP, Inc"
03f0,0104,"DeskJet 880c/970c","HP, Inc"
03f0,0105,"ScanJet 4200c","HP, Inc"
03f0,0107,"CD-Writer Plus","HP, Inc"
03f0,010c,"Multimedia Keyboard Hub","HP, Inc"
03f0,0111,"G55xi Printer/Scanner/Copier","HP, Inc"
03f0,0117,"LaserJet 3200","HP, Inc"
03f0,011c,"hn210w 802.11b Adapter","HP, Inc"
03f0,011d,"Bluetooth 1.2 Interface [Broadcom BCM2035]","HP, Inc"
03f0,0121,"HP 39g+ [F2224A], 39gs [F2223A], 40gs [F2225A], 48gII [F2226A], 49g+ [F2228A], 50g [F2229A, NW240AA]","HP, Inc"
03f0,0122,"HID Internet Keyboard","HP, Inc"
03f0,0125,"DAT72 Tape","HP, Inc"
03f0,0139,"Barcode Scanner 4430","HP, Inc"
03f0,0201,"ScanJet 6200c","HP, Inc"
03f0,0202,"PhotoSmart S20","HP, Inc"
03f0,0204,"DeskJet 815c","HP, Inc"
03f0,0205,"ScanJet 3300c","HP, Inc"
03f0,0207,"CD-Writer Plus 8200e","HP, Inc"
03f0,020c,"Multimedia Keyboard","HP, Inc"
03f0,0211,"OfficeJet G85","HP, Inc"
03f0,0212,"DeskJet 1220C","HP, Inc"
03f0,0217,"LaserJet 2200","HP, Inc"
03f0,0218,"APOLLO P2500/2600","HP, Inc"
03f0,0221,"StreamSmart 400 [F2235AA]","HP, Inc"
03f0,0223,"Digital Drive Flash Reader","HP, Inc"
03f0,022a,"Laserjet CP1525nw","HP, Inc"
03f0,0241,"Link-5 micro dongle","HP, Inc"
03f0,0304,"DeskJet 810c/812c","HP, Inc"
03f0,0305,"ScanJet 4300c","HP, Inc"
03f0,0307,"CD-Writer+ CD-4e","HP, Inc"
03f0,0311,"OfficeJet G85xi","HP, Inc"
03f0,0312,"Color Inkjet CP1700","HP, Inc"
03f0,0314,"designjet 30/130 series","HP, Inc"
03f0,0317,"LaserJet 1200","HP, Inc"
03f0,0324,"SK-2885 keyboard","HP, Inc"
03f0,034a,"Elite Keyboard","HP, Inc"
03f0,0401,"ScanJet 5200c","HP, Inc"
03f0,0404,"DeskJet 830c/832c","HP, Inc"
03f0,0405,"ScanJet 3400cse","HP, Inc"
03f0,0411,"OfficeJet G95","HP, Inc"
03f0,0412,"Printing Support","HP, Inc"
03f0,0417,"LaserJet 1200 series","HP, Inc"
03f0,0423,"HS-COMBO Cardreader","HP, Inc"
03f0,042a,"LaserJet M1132 MFP","HP, Inc"
03f0,0441,"Prime [NW280AA, G8X92AA]","HP, Inc"
03f0,0504,"DeskJet 885c","HP, Inc"
03f0,0505,"ScanJet 2100c","HP, Inc"
03f0,0507,"DVD+RW","HP, Inc"
03f0,050c,"5219 Wireless Keyboard","HP, Inc"
03f0,0511,"OfficeJet K60","HP, Inc"
03f0,0512,"DeckJet 450","HP, Inc"
03f0,0517,"LaserJet 1000","HP, Inc"
03f0,051d,"Bluetooth Interface","HP, Inc"
03f0,052a,"LaserJet M1212nf MFP","HP, Inc"
03f0,0601,"ScanJet 6300c","HP, Inc"
03f0,0604,"DeskJet 840c","HP, Inc"
03f0,0605,"ScanJet 2200c","HP, Inc"
03f0,0610,"Z24i Monitor Hub","HP, Inc"
03f0,0611,"OfficeJet K60xi","HP, Inc"
03f0,0612,"business inkjet 3000","HP, Inc"
03f0,0624,"Bluetooth Dongle","HP, Inc"
03f0,0641,"X1200 Optical Mouse","HP, Inc"
03f0,0701,"ScanJet 5300c/5370c","HP, Inc"
03f0,0704,"DeskJet 825c","HP, Inc"
03f0,0705,"ScanJet 4400c","HP, Inc"
03f0,070c,"Personal Media Drive","HP, Inc"
03f0,0711,"OfficeJet K80","HP, Inc"
03f0,0712,"DeskJet 1180c","HP, Inc"
03f0,0714,"Printing Support","HP, Inc"
03f0,0741,"Prime Wireless Kit [FOK65AA]","HP, Inc"
03f0,0801,"ScanJet 7400c","HP, Inc"
03f0,0804,"DeskJet 816c","HP, Inc"
03f0,0805,"HP4470C","HP, Inc"
03f0,0811,"OfficeJet K80xi","HP, Inc"
03f0,0817,"LaserJet 3300","HP, Inc"
03f0,0901,"ScanJet 2300c","HP, Inc"
03f0,0904,"DeskJet 845c","HP, Inc"
03f0,0912,"Printing Support","HP, Inc"
03f0,0917,"LaserJet 3330","HP, Inc"
03f0,0924,"Modular Smartcard Keyboard","HP, Inc"
03f0,0941,"X500 Optical Mouse","HP, Inc"
03f0,094a,"Optical Mouse [672662-001]","HP, Inc"
03f0,0a01,"ScanJet 2400c","HP, Inc"
03f0,0a17,"color LaserJet 3700","HP, Inc"
03f0,0b01,"ScanJet 82x0C","HP, Inc"
03f0,0b0c,"Wireless Keyboard and Optical Mouse receiver","HP, Inc"
03f0,0b17,"LaserJet 2300d","HP, Inc"
03f0,0c17,"LaserJet 1010","HP, Inc"
03f0,0c24,"Bluetooth Dongle","HP, Inc"
03f0,0d12,"OfficeJet 9100 series","HP, Inc"
03f0,0d17,"LaserJet 1012","HP, Inc"
03f0,0d4a,"SK-2025 Keyboard","HP, Inc"
03f0,0e17,"LaserJet 1015","HP, Inc"
03f0,0f0c,"Wireless Keyboard and Optical Mouse receiver","HP, Inc"
03f0,0f11,"OfficeJet V40","HP, Inc"
03f0,0f12,"Printing Support","HP, Inc"
03f0,0f17,"LaserJet 1150","HP, Inc"
03f0,0f2a,"LaserJet 400 color M451dn","HP, Inc"
03f0,1001,"Photo Scanner 1000","HP, Inc"
03f0,1002,"PhotoSmart 140 series","HP, Inc"
03f0,1004,"DeskJet 970c/970cse","HP, Inc"
03f0,1005,"ScanJet 5400c","HP, Inc"
03f0,1011,"OfficeJet V40xi","HP, Inc"
03f0,1016,"Jornada 548 / iPAQ HW6515 Pocket PC","HP, Inc"
03f0,1017,"LaserJet 1300","HP, Inc"
03f0,1024,"Smart Card Keyboard","HP, Inc"
03f0,1027,"Virtual keyboard and mouse","HP, Inc"
03f0,102a,"LaserJet Professional P 1102w","HP, Inc"
03f0,1102,"PhotoSmart 240 series","HP, Inc"
03f0,1104,"DeskJet 959c","HP, Inc"
03f0,1105,"ScanJet 5470c/5490c","HP, Inc"
03f0,1111,"OfficeJet v60","HP, Inc"
03f0,1116,"Jornada 568 Pocket PC","HP, Inc"
03f0,1117,"LaserJet 1300n","HP, Inc"
03f0,1151,"PSC-750xi Printer/Scanner/Copier","HP, Inc"
03f0,1198,"HID-compliant mouse","HP, Inc"
03f0,1202,"PhotoSmart 320 series","HP, Inc"
03f0,1204,"DeskJet 930c","HP, Inc"
03f0,1205,"ScanJet 4500C/5550C","HP, Inc"
03f0,1211,"OfficeJet v60xi","HP, Inc"
03f0,1217,"LaserJet 2300L","HP, Inc"
03f0,1227,"Virtual CD-ROM","HP, Inc"
03f0,1302,"PhotoSmart 370 series","HP, Inc"
03f0,1305,"ScanJet 4570c","HP, Inc"
03f0,1311,"OfficeJet V30","HP, Inc"
03f0,1312,"DeskJet 460","HP, Inc"
03f0,1317,"LaserJet 1005","HP, Inc"
03f0,1327,"iLO Virtual Hub","HP, Inc"
03f0,134a,"Optical Mouse","HP, Inc"
03f0,1405,"ScanJet 3670","HP, Inc"
03f0,1411,"PSC 750","HP, Inc"
03f0,1424,"f2105 Monitor Hub","HP, Inc"
03f0,1502,"PhotoSmart 420 series","HP, Inc"
03f0,1504,"DeskJet 920c","HP, Inc"
03f0,150c,"Mood Lighting (Microchip Technology Inc.)","HP, Inc"
03f0,1511,"PSC 750xi","HP, Inc"
03f0,1512,"Printing Support","HP, Inc"
03f0,1517,"color LaserJet 3500","HP, Inc"
03f0,1524,"Smart Card Keyboard - KR","HP, Inc"
03f0,1539,"Mini Magnetic Stripe Reader","HP, Inc"
03f0,1541,"Prime [G8X92AA]","HP, Inc"
03f0,154a,"Laser Mouse","HP, Inc"
03f0,1602,"PhotoSmart 330 series","HP, Inc"
03f0,1604,"DeskJet 940c","HP, Inc"
03f0,1605,"ScanJet 5530C PhotoSmart","HP, Inc"
03f0,1611,"psc 780","HP, Inc"
03f0,1617,"LaserJet 3015","HP, Inc"
03f0,161d,"Wireless Rechargeable Optical Mouse (HID)","HP, Inc"
03f0,1624,"Smart Card Keyboard - JP","HP, Inc"
03f0,1647,"Z27n G2 Monitor Hub","HP, Inc"
03f0,1702,"PhotoSmart 380 series","HP, Inc"
03f0,1704,"DeskJet 948C","HP, Inc"
03f0,1705,"ScanJet 5590","HP, Inc"
03f0,1711,"psc 780xi","HP, Inc"
03f0,1712,"Printing Support","HP, Inc"
03f0,1717,"LaserJet 3020","HP, Inc"
03f0,171d,"Bluetooth 2.0 Interface [Broadcom BCM2045]","HP, Inc"
03f0,1801,"Inkjet P-2000U","HP, Inc"
03f0,1802,"PhotoSmart 470 series","HP, Inc"
03f0,1804,"DeskJet 916C","HP, Inc"
03f0,1805,"ScanJet 7650","HP, Inc"
03f0,1811,"PSC 720","HP, Inc"
03f0,1812,"OfficeJet Pro K550","HP, Inc"
03f0,1817,"LaserJet 3030","HP, Inc"
03f0,181d,"Bluetooth 2.0 Interface","HP, Inc"
03f0,1902,"PhotoSmart A430 series","HP, Inc"
03f0,1904,"DeskJet 3820","HP, Inc"
03f0,1911,"OfficeJet V45","HP, Inc"
03f0,1917,"LaserJet 3380","HP, Inc"
03f0,1a02,"PhotoSmart A510 series","HP, Inc"
03f0,1a11,"OfficeJet 5100 series","HP, Inc"
03f0,1a17,"color LaserJet 4650","HP, Inc"
03f0,1b02,"PhotoSmart A610 series","HP, Inc"
03f0,1b04,"DeskJet 3810","HP, Inc"
03f0,1b05,"ScanJet 4850C/4890C","HP, Inc"
03f0,1b07,"Premium Starter Webcam","HP, Inc"
03f0,1c02,"PhotoSmart A710 series","HP, Inc"
03f0,1c17,"Color LaserJet 2550l","HP, Inc"
03f0,1d02,"PhotoSmart A310 series","HP, Inc"
03f0,1d17,"LaserJet 1320","HP, Inc"
03f0,1d24,"Barcode scanner","HP, Inc"
03f0,1e02,"PhotoSmart A320 Printer series","HP, Inc"
03f0,1e11,"PSC-950","HP, Inc"
03f0,1e17,"LaserJet 1160 series","HP, Inc"
03f0,1f02,"PhotoSmart A440 Printer series","HP, Inc"
03f0,1f11,"PSC 920","HP, Inc"
03f0,1f12,"OfficeJet Pro K5300","HP, Inc"
03f0,1f17,"color LaserJet 5550","HP, Inc"
03f0,1f1d,"un2400 Gobi Wireless Modem","HP, Inc"
03f0,2001,"Floppy","HP, Inc"
03f0,2002,"Hub","HP, Inc"
03f0,2004,"DeskJet 640c","HP, Inc"
03f0,2005,"ScanJet 3570c","HP, Inc"
03f0,2012,"OfficeJet Pro K5400","HP, Inc"
03f0,201d,"un2400 Gobi Wireless Modem (QDL mode)","HP, Inc"
03f0,2039,"Cashdrawer","HP, Inc"
03f0,2102,"PhotoSmart 7345","HP, Inc"
03f0,2104,"DeskJet 630c","HP, Inc"
03f0,2112,"OfficeJet Pro L7500","HP, Inc"
03f0,211d,"Sierra MC5725 [ev2210]","HP, Inc"
03f0,2202,"PhotoSmart 7600 series","HP, Inc"
03f0,2205,"ScanJet 3500c","HP, Inc"
03f0,2212,"OfficeJet Pro L7600","HP, Inc"
03f0,2217,"color LaserJet 9500 MFP","HP, Inc"
03f0,222a,"LaserJet Pro MFP M125nw","HP, Inc"
03f0,2302,"PhotoSmart 7600 series","HP, Inc"
03f0,2304,"DeskJet 656c","HP, Inc"
03f0,2305,"ScanJet 3970c","HP, Inc"
03f0,2311,"OfficeJet d series","HP, Inc"
03f0,2312,"OfficeJet Pro L7700","HP, Inc"
03f0,2317,"LaserJet 4350","HP, Inc"
03f0,231d,"Broadcom 2070 Bluetooth Combo","HP, Inc"
03f0,2402,"PhotoSmart 7700 series","HP, Inc"
03f0,2404,"Deskjet F2280 series","HP, Inc"
03f0,2405,"ScanJet 4070 PhotoSmart","HP, Inc"
03f0,2417,"LaserJet 4250","HP, Inc"
03f0,241d,"Gobi 2000 Wireless Modem (QDL mode)","HP, Inc"
03f0,2424,"LP1965 19" Monitor Hub","HP, Inc"
03f0,2441,"Prime G2 [2AP18AA]","HP, Inc"
03f0,2502,"PhotoSmart 7700 series","HP, Inc"
03f0,2504,"DeskJet F4200 series","HP, Inc"
03f0,2505,"ScanJet 3770","HP, Inc"
03f0,2512,"OfficeJet Pro L7300 / Compaq LA2405 series monitor","HP, Inc"
03f0,2514,"4-port hub","HP, Inc"
03f0,2517,"LaserJet 2410","HP, Inc"
03f0,251d,"Gobi 2000 Wireless Modem","HP, Inc"
03f0,2524,"LP3065 30" Monitor Hub","HP, Inc"
03f0,2602,"PhotoSmart A520 series","HP, Inc"
03f0,2605,"ScanJet 3800c","HP, Inc"
03f0,2611,"OfficeJet 7100 series","HP, Inc"
03f0,2617,"Color LaserJet 2820 series","HP, Inc"
03f0,2624,"Pole Display (HP522 2 x 20 Line Display)","HP, Inc"
03f0,2702,"PhotoSmart A620 series","HP, Inc"
03f0,2704,"DeskJet 915","HP, Inc"
03f0,2717,"Color LaserJet 2830","HP, Inc"
03f0,2724,"Magnetic Stripe Reader IDRA-334133-HP","HP, Inc"
03f0,2805,"Scanjet G2710","HP, Inc"
03f0,2811,"PSC-2100","HP, Inc"
03f0,2817,"Color LaserJet 2840","HP, Inc"
03f0,2841,"OMEN MINDFRAME [3XT27AA]","HP, Inc"
03f0,2902,"PhotoSmart A820 series","HP, Inc"
03f0,2911,"PSC 2200","HP, Inc"
03f0,2917,"LaserJet 2420","HP, Inc"
03f0,2a11,"PSC 2150 series","HP, Inc"
03f0,2a17,"LaserJet 2430","HP, Inc"
03f0,2a1d,"Integrated Module with Bluetooth 2.1 Wireless technology","HP, Inc"
03f0,2b11,"PSC 2170 series","HP, Inc"
03f0,2b17,"LaserJet 1020","HP, Inc"
03f0,2b4a,"Business Slim Keyboard","HP, Inc"
03f0,2c12,"Officejet J4680","HP, Inc"
03f0,2c17,"LaserJet 1022","HP, Inc"
03f0,2c24,"Logitech M-UAL-96 Mouse","HP, Inc"
03f0,2d05,"Scanjet 7000","HP, Inc"
03f0,2d11,"OfficeJet 6110","HP, Inc"
03f0,2d17,"Printing Support","HP, Inc"
03f0,2e11,"PSC 1000","HP, Inc"
03f0,2e17,"LaserJet 2600n","HP, Inc"
03f0,2e24,"LP2275w Monitor Hub","HP, Inc"
03f0,2f11,"PSC 1200","HP, Inc"
03f0,2f17,"Color LaserJet 2605dn","HP, Inc"
03f0,2f24,"LP2475w Monitor Hub","HP, Inc"
03f0,3002,"PhotoSmart P1000","HP, Inc"
03f0,3004,"DeskJet 980c","HP, Inc"
03f0,3005,"ScanJet 4670v","HP, Inc"
03f0,3011,"PSC 1100 series","HP, Inc"
03f0,3017,"Printing Support","HP, Inc"
03f0,304a,"Slim Keyboard","HP, Inc"
03f0,3102,"PhotoSmart P1100 Printer w/ Card Reader","HP, Inc"
03f0,3104,"DeskJet 960c","HP, Inc"
03f0,3111,"OfficeJet 4100 series","HP, Inc"
03f0,3117,"EWS 2605dtn","HP, Inc"
03f0,311d,"Atheros AR9285 Malbec Bluetooth Adapter","HP, Inc"
03f0,312a,"LaserJet Pro M701n","HP, Inc"
03f0,3202,"PhotoSmart 1215","HP, Inc"
03f0,3207,"4 GB flash drive","HP, Inc"
03f0,3211,"OfficeJet 4105 series","HP, Inc"
03f0,3217,"LaserJet 3050","HP, Inc"
03f0,3302,"PhotoSmart 1218","HP, Inc"
03f0,3304,"DeskJet 990c","HP, Inc"
03f0,3307,"v125w Stick","HP, Inc"
03f0,3312,"OfficeJet J6410","HP, Inc"
03f0,3317,"LaserJet 3052","HP, Inc"
03f0,3402,"PhotoSmart 1115","HP, Inc"
03f0,3404,"DeskJet 6122","HP, Inc"
03f0,3417,"LaserJet 3055","HP, Inc"
03f0,3502,"PhotoSmart 230","HP, Inc"
03f0,3504,"DeskJet 6127c","HP, Inc"
03f0,3511,"PSC 2300","HP, Inc"
03f0,3517,"LaserJet 3390","HP, Inc"
03f0,354a,"Slim Keyboard","HP, Inc"
03f0,3602,"PhotoSmart 1315","HP, Inc"
03f0,3611,"PSC 2410 PhotoSmart","HP, Inc"
03f0,3612,"Officejet Pro 8000 A809","HP, Inc"
03f0,3617,"Color LaserJet 2605","HP, Inc"
03f0,3711,"PSC 2500","HP, Inc"
03f0,3717,"EWS UPD","HP, Inc"
03f0,3724,"Webcam","HP, Inc"
03f0,3802,"PhotoSmart 100","HP, Inc"
03f0,3807,"c485w Flash Drive","HP, Inc"
03f0,3817,"LaserJet P2015 series","HP, Inc"
03f0,3902,"PhotoSmart 130","HP, Inc"
03f0,3912,"Officejet Pro 8500","HP, Inc"
03f0,3917,"LaserJet P2014","HP, Inc"
03f0,3a02,"PhotoSmart 7150","HP, Inc"
03f0,3a11,"OfficeJet 5500 series","HP, Inc"
03f0,3a17,"Printing Support","HP, Inc"
03f0,3a1d,"hs2340 HSPA+ mobile broadband","HP, Inc"
03f0,3b02,"PhotoSmart 7150~","HP, Inc"
03f0,3b05,"Scanjet N8460","HP, Inc"
03f0,3b11,"PSC 1300 series","HP, Inc"
03f0,3b17,"LaserJet M1005 MFP","HP, Inc"
03f0,3b2a,"Color LaserJet MFP M277dw","HP, Inc"
03f0,3c02,"PhotoSmart 7350","HP, Inc"
03f0,3c05,"Scanjet Professional 1000 Mobile Scanner","HP, Inc"
03f0,3c11,"PSC 1358","HP, Inc"
03f0,3c17,"EWS UPD","HP, Inc"
03f0,3d02,"PhotoSmart 7350~","HP, Inc"
03f0,3d11,"OfficeJet 4215","HP, Inc"
03f0,3d17,"LaserJet P1005","HP, Inc"
03f0,3e02,"PhotoSmart 7550","HP, Inc"
03f0,3e17,"LaserJet P1006","HP, Inc"
03f0,3f02,"PhotoSmart 7550~","HP, Inc"
03f0,3f11,"PSC-1315/PSC-1317","HP, Inc"
03f0,3f17,"Laserjet P1505","HP, Inc"
03f0,4002,"PhotoSmart 635/715/720/735/935/E337 (storage)","HP, Inc"
03f0,4004,"CP1160","HP, Inc"
03f0,4102,"PhotoSmart 618","HP, Inc"
03f0,4105,"ScanJet 4370","HP, Inc"
03f0,4111,"OfficeJet 7200 series","HP, Inc"
03f0,4117,"LaserJet 1018","HP, Inc"
03f0,4202,"PhotoSmart 812","HP, Inc"
03f0,4205,"ScanJet G3010","HP, Inc"
03f0,4211,"OfficeJet 7300 series","HP, Inc"
03f0,4217,"EWS CM1015","HP, Inc"
03f0,4302,"PhotoSmart 850 (ptp)","HP, Inc"
